time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-20_10:54:46,2,zstd,65536,104857600,2,824.35,874242246,5.916,19.871,12.894,False,66.019,55.078,845.9,842.7,841.9,826.5,703.7,681.9,840.0,843.1,840.2,838.4,835.5,841.6,827.3,841.2,835.6,837.7,840.2,841.3,836.3,845.9
23-04-20_10:56:48,1,zstd,131072,52428800,3,958.93,875508317,23.207,19.755,21.481,False,67.853,54.090,758.7,786.6,979.0,981.6,966.1,982.4,980.1,978.9,976.8,979.0,986.7,982.3,984.1,979.1,976.4,977.7,982.1,987.0,975.8,978.1
23-04-20_10:58:49,1,zstd,131072,41943040,2,981.76,875501554,26.141,19.756,22.948,True,67.180,53.447,988.6,979.1,985.5,984.0,985.4,978.0,977.7,977.2,981.7,978.4,986.2,993.5,981.9,990.4,981.9,977.6,982.1,977.5,973.9,974.7
23-04-20_11:07:00,2,lzma,131072,31457280,2,75.49,627596081,-90.300,42.478,-23.911,False,223.794,267.600,76.2,75.8,76.1,75.9,75.4,75.8,75.6,75.7,75.3,75.8,75.1,75.2,75.9,74.7,75.4,75.3,75.6,74.2,75.8,75.2
23-04-20_11:09:06,1,zstd,262144,41943040,2,1011.76,873147372,29.996,19.972,24.984,True,71.389,54.059,1021.3,1018.9,1032.0,1032.8,1030.6,936.4,808.7,1029.1,1034.2,1027.9,1011.3,987.9,1016.4,1035.3,1037.1,1039.5,1027.7,1032.4,1030.0,1045.6
23-04-20_11:11:12,3,zstd,131072,52428800,3,957.80,875508317,23.063,19.755,21.409,False,70.479,55.483,965.7,960.9,956.5,948.4,934.2,945.1,880.8,970.1,971.2,952.4,969.0,972.6,963.5,953.8,966.4,972.0,974.8,970.1,956.3,972.4
23-04-20_11:13:16,4,lz4,524288,31457280,1,1390.35,1079230179,78.639,1.083,39.861,True,74.513,49.716,1383.8,1376.0,1383.5,1375.5,1367.5,1374.5,1388.1,1369.8,1369.8,1381.0,1379.2,1379.0,1370.7,1488.2,1488.0,1481.2,1374.5,1378.8,1366.8,1331.2
23-04-20_11:14:56,3,none,1048576,41943040,1,1166.01,3209311850,49.815,-194.149,-72.167,False,49.597,49.663,1165.3,1148.2,1148.0,1149.5,1138.6,1150.5,1163.5,1280.3,1164.9,1250.2,1162.7,1160.9,1150.7,1159.8,1158.8,1162.4,1170.6,1155.3,1135.7,1144.3
23-04-20_11:22:52,3,lzma,524288,41943040,2,94.45,614898436,-87.864,43.642,-22.111,False,252.547,224.069,95.9,93.9,94.1,95.8,95.7,95.1,93.5,93.8,93.6,95.7,94.5,93.6,94.4,94.1,94.7,94.2,94.1,94.6,93.6,94.3
23-04-20_11:24:56,1,lz4,524288,31457280,2,1302.92,1079230179,67.405,1.083,34.244,False,72.354,50.836,1293.1,1253.8,1308.3,1288.7,1353.9,1317.2,1251.2,1308.2,1313.4,1318.0,1309.9,1294.9,1299.7,1289.5,1307.9,1295.6,1331.3,1312.9,1309.7,1301.1
23-04-20_11:26:37,1,none,524288,31457280,1,1132.85,3209543001,45.554,-194.171,-74.308,False,51.584,49.401,1127.6,1119.6,1127.6,1140.2,1114.4,1073.6,1146.7,1116.8,1140.8,1135.4,1160.9,1167.9,1130.9,1123.7,1097.5,1120.8,1152.1,1228.2,1120.8,1111.5
23-04-20_11:28:34,2,zstd,524288,31457280,2,1108.34,865608526,42.405,20.663,31.534,False,63.322,53.937,1133.3,1101.1,1134.6,1077.8,1104.3,1111.1,1114.6,1125.9,1123.4,1093.9,1125.1,1110.8,1104.7,1091.9,1099.2,1094.3,1097.3,1106.3,1095.2,1122.2
